filepath,start_time,end_time
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,9.1,10.5
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,10.6,14.5
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,14.6,16.4
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,16.6,18.2
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,18.7,21.4
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,22.0,24.9
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,25.2,28.3
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,28.5,34.2
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,34.3,36.7
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,36.8,44.0
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,44.1,46.1
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,46.3,49.8
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,50.1,51.4
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,51.6,54.2
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,54.6,58.5
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,58.9,61.4
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,61.5,63.5
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,63.8,65.1
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,65.4,68.5
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,69.1,70.7
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,71.1,74.7
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,75.2,78.2
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,78.5,81.8
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,81.9,84.6
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,84.8,85.2
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,85.3,89.6
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,89.7,90.9
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,91.3,92.1
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,93.1,94.0
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,94.2,95.0
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,95.2,96.2
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,96.3,97.1
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,97.3,98.0
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36385.ogg,98.1,98.882
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36389.ogg,9.9,14.4
/home/jupyter/gcs_mount/raw_data/train_audio/1139490/CSA36389.ogg,14.7,20.8
