filename,start_time,end_time,primary_label,confidence
H32_20230424_093500.ogg,12.0,15.0,chfmac1,0.8902410864830017
H32_20230424_093500.ogg,15.0,18.0,chfmac1,0.8181927800178528
H65_20230506_141000.ogg,15.0,18.0,greani1,0.5249712467193604
H26_20230421_204500.ogg,27.0,30.0,compau,0.40130969882011414
H26_20230421_204500.ogg,42.0,45.0,compau,0.43469297885894775
H26_20230421_204500.ogg,45.0,48.0,compau,0.3027840256690979
H26_20230421_204500.ogg,48.0,51.0,compau,0.33840247988700867
H26_20230421_204500.ogg,57.0,60.0,compau,0.2807323634624481
H11_20230422_070000.ogg,12.0,15.0,ywcpar,0.6612206697463989
H11_20230422_070000.ogg,15.0,18.0,ywcpar,0.4673008918762207
H11_20230422_070000.ogg,18.0,21.0,ywcpar,0.5046525001525879
H11_20230422_070000.ogg,33.0,36.0,bugtan,0.2919470965862274
H11_20230422_070000.ogg,36.0,39.0,ywcpar,0.48599499464035034
H11_20230422_070000.ogg,48.0,51.0,ywcpar,0.4662821590900421
H11_20230422_070000.ogg,51.0,54.0,baymac,0.4567778408527374
H11_20230422_070000.ogg,54.0,57.0,baymac,0.4215402901172638
H65_20230518_133000.ogg,0.0,3.0,tbsfin1,0.6882085204124451
H65_20230518_133000.ogg,3.0,6.0,tbsfin1,0.9451765418052673
H65_20230518_133000.ogg,6.0,9.0,tbsfin1,0.7182084918022156
H65_20230518_133000.ogg,9.0,12.0,tbsfin1,0.8070164322853088
H65_20230518_133000.ogg,18.0,21.0,butsal1,0.5436500906944275
H65_20230518_133000.ogg,36.0,39.0,butsal1,0.33629241585731506
H65_20230518_133000.ogg,42.0,45.0,tbsfin1,0.34849831461906433
H69_20230519_152000.ogg,45.0,48.0,whtdov,0.31201428174972534
H8920_20230505_230500.ogg,27.0,30.0,littin1,0.5396170616149902
H8920_20230505_230500.ogg,30.0,33.0,littin1,0.9427245259284973
H65_20230509_011500.ogg,24.0,27.0,compot1,0.3760676085948944
H78_20230518_001000.ogg,24.0,27.0,compot1,0.2565832734107971
H79_20230427_070500.ogg,12.0,15.0,ywcpar,0.31119850277900696
H79_20230427_070500.ogg,18.0,21.0,ywcpar,0.2870738208293915
H79_20230427_070500.ogg,21.0,24.0,ywcpar,0.2854886054992676
H26_20230521_184000.ogg,3.0,6.0,norscr1,0.3818279206752777
H26_20230521_184000.ogg,9.0,12.0,norscr1,0.7364569306373596
H26_20230521_184000.ogg,12.0,15.0,norscr1,0.417309045791626
H26_20230521_184000.ogg,15.0,18.0,norscr1,0.45616886019706726
H26_20230521_184000.ogg,18.0,21.0,norscr1,0.6251180171966553
H26_20230521_184000.ogg,21.0,24.0,norscr1,0.6182116866111755
H26_20230521_184000.ogg,27.0,30.0,norscr1,0.4164259731769562
H26_20230521_184000.ogg,30.0,33.0,norscr1,0.26482006907463074
H26_20230521_184000.ogg,33.0,36.0,norscr1,0.4849154055118561
H26_20230521_184000.ogg,36.0,39.0,norscr1,0.7555539011955261
H26_20230521_184000.ogg,39.0,42.0,norscr1,0.3898046910762787
H26_20230521_184000.ogg,48.0,51.0,norscr1,0.5056330561637878
H26_20230521_184000.ogg,51.0,54.0,norscr1,0.4482041299343109
H26_20230521_184000.ogg,54.0,57.0,norscr1,0.33314597606658936
H03_20230518_111500.ogg,0.0,3.0,blcjay1,0.8137521743774414
H03_20230518_111500.ogg,3.0,6.0,blcjay1,0.7845451235771179
H03_20230518_111500.ogg,3.0,6.0,bobfly1,0.25200140476226807
H03_20230518_111500.ogg,6.0,9.0,blcjay1,0.9840759634971619
H03_20230518_111500.ogg,9.0,12.0,blcjay1,0.6272276639938354
H03_20230518_111500.ogg,12.0,15.0,blcjay1,0.974819540977478
H03_20230518_111500.ogg,15.0,18.0,blcjay1,0.4147830009460449
H03_20230518_111500.ogg,18.0,21.0,blcjay1,0.45940035581588745
H03_20230518_111500.ogg,21.0,24.0,bobfly1,0.83451247215271
H03_20230518_111500.ogg,21.0,24.0,blcjay1,0.8048979640007019
H03_20230518_111500.ogg,24.0,27.0,blcjay1,0.9481510519981384
H03_20230518_111500.ogg,27.0,30.0,blcjay1,0.6004840731620789
H03_20230518_111500.ogg,30.0,33.0,bobfly1,0.8333742022514343
H03_20230518_111500.ogg,33.0,36.0,blcjay1,0.8178885579109192
H03_20230518_111500.ogg,36.0,39.0,bobfly1,0.927065908908844
H03_20230518_111500.ogg,39.0,42.0,blcjay1,0.3708050847053528
H03_20230518_111500.ogg,45.0,48.0,bobfly1,0.4449199140071869
H03_20230518_111500.ogg,48.0,51.0,bobfly1,0.7523596286773682
H03_20230518_111500.ogg,51.0,54.0,blcjay1,0.8342125415802002
H03_20230518_111500.ogg,54.0,57.0,blcjay1,0.8299693465232849
H03_20230518_111500.ogg,57.0,60.0,bobfly1,0.265384703874588
H16_20230429_060500.ogg,0.0,3.0,strcuc1,0.5545518398284912
H16_20230429_060500.ogg,0.0,3.0,cotfly1,0.5336137413978577
H16_20230429_060500.ogg,6.0,9.0,strcuc1,0.9003203511238098
H16_20230429_060500.ogg,9.0,12.0,strcuc1,0.6907614469528198
H16_20230429_060500.ogg,15.0,18.0,strcuc1,0.9526450037956238
H16_20230429_060500.ogg,21.0,24.0,strcuc1,0.885424017906189
H16_20230429_060500.ogg,27.0,30.0,strcuc1,0.8533303141593933
H16_20230429_060500.ogg,33.0,36.0,strcuc1,0.7337541580200195
H16_20230429_060500.ogg,36.0,39.0,strcuc1,0.7424812912940979
H16_20230429_060500.ogg,42.0,45.0,strcuc1,0.6851049065589905
H16_20230429_060500.ogg,48.0,51.0,strcuc1,0.43970102071762085
H16_20230429_060500.ogg,54.0,57.0,pavpig2,0.4373929798603058
H32_20230507_103500.ogg,24.0,27.0,rugdov,0.35023418068885803
H32_20230507_103500.ogg,36.0,39.0,trokin,0.7792320251464844
H24_20230508_125000.ogg,12.0,15.0,whtdov,0.399567186832428
H24_20230508_125000.ogg,24.0,27.0,whtdov,0.7556443810462952
