filename,start_time,end_time,primary_label,confidence
H69_20230519_152000.ogg,50.0,55,whtdov,0.77824646
H26_20230521_184000.ogg,0.0,5,22976,0.7907302
H26_20230521_184000.ogg,5.0,10,22976,0.8379483
H26_20230521_184000.ogg,10.0,15,22976,0.85299575
H26_20230521_184000.ogg,15.0,20,22976,0.85737526
H26_20230521_184000.ogg,20.0,25,22976,0.87138385
H26_20230521_184000.ogg,25.0,30,22976,0.8497144
H26_20230521_184000.ogg,35.0,40,22976,0.844334
H26_20230521_184000.ogg,40.0,45,22976,0.84352875
H26_20230521_184000.ogg,45.0,50,22976,0.8271227
H26_20230521_184000.ogg,50.0,55,22976,0.8556798
H26_20230521_184000.ogg,55.0,60,22976,0.8251066
H16_20230429_060500.ogg,0.0,5,strcuc1,0.78588647
H16_20230429_060500.ogg,5.0,10,strcuc1,0.8103253
H16_20230429_060500.ogg,10.0,15,strcuc1,0.84437263
H16_20230429_060500.ogg,15.0,20,strcuc1,0.7901752
H16_20230429_060500.ogg,40.0,45,strcuc1,0.7934513
H16_20230429_060500.ogg,45.0,50,strcuc1,0.80446655
H16_20230429_060500.ogg,50.0,55,yebela1,0.8951621
H16_20230429_060500.ogg,55.0,60,pavpig2,0.863334
H32_20230507_103500.ogg,25.0,30,rugdov,0.8482586
H24_20230508_125000.ogg,20.0,25,whtdov,0.7503587
H24_20230508_125000.ogg,30.0,35,whtdov,0.8161852
H24_20230508_125000.ogg,40.0,45,whtdov,0.7860048
H30_20230506_155000.ogg,50.0,55,rugdov,0.8685695
H16_20230503_094500.ogg,0.0,5,strcuc1,0.80111945
H16_20230503_094500.ogg,20.0,25,strcuc1,0.76345736
H16_20230503_094500.ogg,30.0,35,strcuc1,0.7585379
O201_20230520_092500.ogg,40.0,45,littin1,0.77644044
H28_20230521_085500.ogg,25.0,30,strcuc1,0.8010052
H28_20230521_085500.ogg,50.0,55,strcuc1,0.7659435
H32_20230507_174000.ogg,10.0,15,pavpig2,0.8727956
H32_20230507_174000.ogg,35.0,40,pavpig2,0.88695395
H32_20230507_174000.ogg,55.0,60,pavpig2,0.80682147
H78_20230423_170000.ogg,5.0,10,pavpig2,0.77519065
H78_20230423_170000.ogg,55.0,60,pavpig2,0.83375657
H12_20230504_124000.ogg,55.0,60,pirfly1,0.81552947
H11_20230511_130000.ogg,25.0,30,grekis,0.781448
H11_20230511_130000.ogg,30.0,35,grekis,0.80049074
H08_20230505_165000.ogg,25.0,30,pirfly1,0.8454715
H08_20230505_165000.ogg,30.0,35,pirfly1,0.84188634
