species,total_files,files_with_detections,percentage_detected
turvul,11,2,18.181818181818183
bafibi1,27,14,51.85185185185185
blctit1,32,18,56.25
piwtyr1,19,11,57.89473684210527
ruther1,80,48,60.0
woosto,27,17,62.96296296296296
grysee1,25,16,64.0
blkvul,70,45,64.28571428571429
yelori1,60,40,66.66666666666666
rosspo1,34,24,70.58823529411765
strher,169,122,72.18934911242604
neocor,90,65,72.22222222222221
anhing,91,66,72.52747252747253
grnkin,132,98,74.24242424242425
snoegr,108,81,75.0
spbwoo1,48,36,75.0
cocher1,40,30,75.0
strowl1,164,126,76.82926829268293
verfly,69,54,78.26086956521739
brtpar1,74,58,78.37837837837837
ampkin1,28,22,78.57142857142857
sahpar1,14,11,78.57142857142857
y00678,169,133,78.69822485207101
savhaw1,54,43,79.62962962962963
piepuf1,55,44,80.0
eardov1,105,85,80.95238095238095
whwswa1,50,41,82.0
amakin1,89,73,82.02247191011236
recwoo1,90,74,82.22222222222221
whmtyr1,34,28,82.35294117647058
rubsee1,70,58,82.85714285714286
greegr,340,286,84.11764705882354
plbwoo1,186,157,84.40860215053763
bobher1,39,33,84.61538461538461
gybmar,164,139,84.7560975609756
bubcur1,20,17,85.0
blchaw1,54,46,85.18518518518519
yectyr1,97,83,85.56701030927834
solsan,237,203,85.65400843881856
crbtan1,56,48,85.71428571428571
rtlhum,148,127,85.8108108108108
crebob1,50,43,86.0
fotfly,80,69,86.25
thbeup1,153,132,86.27450980392157
plukit1,38,33,86.8421052631579
grbhaw1,107,93,86.91588785046729
leagre,108,94,87.03703703703704
purgal2,147,128,87.07482993197279
bucmot3,47,41,87.2340425531915
bubwre1,379,331,87.33509234828496
creoro1,229,200,87.33624454148472
babwar,167,146,87.42514970059881
tbsfin1,40,35,87.5
yercac1,302,265,87.74834437086093
wbwwre1,499,438,87.7755511022044
linwoo1,330,290,87.87878787878788
watjac1,133,117,87.96992481203007
cocwoo1,162,143,88.27160493827161
gohman1,134,119,88.80597014925374
mastit1,109,97,88.9908256880734
yehcar1,238,212,89.07563025210085
palhor2,66,59,89.39393939393939
socfly1,543,491,90.42357274401473
speowl1,201,182,90.54726368159204
yebsee1,185,168,90.81081081081082
blhpar1,230,209,90.8695652173913
cregua1,77,70,90.9090909090909
cinbec1,67,61,91.04477611940298
secfly1,158,144,91.13924050632912
bugtan,280,256,91.42857142857143
blcant4,105,96,91.42857142857143
cargra1,94,86,91.48936170212765
gretin1,83,76,91.56626506024097
smbani,287,263,91.63763066202091
banana,610,559,91.63934426229508
saffin,419,384,91.64677804295943
trokin,787,723,91.86785260482846
stbwoo2,210,193,91.9047619047619
greani1,127,117,92.1259842519685
rumfly1,236,218,92.37288135593221
amekes,409,378,92.42053789731052
strfly1,377,349,92.57294429708223
butsal1,298,276,92.61744966442953
rugdov,138,128,92.7536231884058
whtdov,572,531,92.83216783216784
grasal4,85,79,92.94117647058823
colara1,57,53,92.98245614035088
tropar,397,370,93.19899244332494
strcuc1,431,402,93.27146171693735
paltan1,224,209,93.30357142857143
yeofly1,525,490,93.33333333333333
gycwor1,365,341,93.42465753424658
whbman1,246,230,93.4959349593496
srwswa1,112,105,93.75
crcwoo1,144,135,93.75
rufmot1,97,91,93.81443298969072
cotfly1,260,244,93.84615384615384
sobtyr1,478,449,93.93305439330544
blbgra1,380,358,94.21052631578948
laufal1,467,440,94.21841541755889
rutjac1,261,246,94.25287356321839
trsowl,470,443,94.25531914893617
shtfly1,90,85,94.44444444444444
blcjay1,108,102,94.44444444444444
bobfly1,514,486,94.55252918287937
bicwre1,93,88,94.6236559139785
whttro1,75,71,94.66666666666667
pavpig2,151,143,94.70198675496688
cattyr,114,108,94.73684210526315
olipic1,38,36,94.73684210526315
roahaw,709,672,94.78138222849083
yehbla2,79,75,94.9367088607595
chfmac1,139,132,94.96402877697841
royfly1,40,38,95.0
littin1,323,307,95.04643962848297
spepar1,81,77,95.06172839506173
ywcpar,142,135,95.07042253521126
pirfly1,324,309,95.37037037037037
grekis,990,945,95.45454545454545
yecspi2,235,225,95.74468085106383
orcpar,218,209,95.87155963302753
soulap1,487,467,95.89322381930184
chbant1,270,259,95.92592592592592
rinkin1,222,213,95.94594594594594
baymac,149,143,95.9731543624161
bkmtou1,311,299,96.14147909967846
bbwduc,424,408,96.22641509433963
blbwre1,110,106,96.36363636363636
rebbla1,55,53,96.36363636363636
thlsch3,97,94,96.90721649484536
labter1,67,65,97.01492537313433
grepot1,67,65,97.01492537313433
whbant1,104,101,97.11538461538461
compau,808,786,97.27722772277228
yebela1,267,260,97.37827715355806
bkcdon,176,172,97.72727272727273
yebfly1,188,184,97.87234042553192
colcha1,145,142,97.93103448275862
greibi1,109,107,98.1651376146789
compot1,383,376,98.17232375979113
whfant1,126,124,98.4126984126984
ragmac1,89,88,98.87640449438202
rutpuf1,17,17,100.0
norscr1,14,14,100.0
plctan1,6,6,100.0
